Date_Collected,Obs,Pool_ID,Time_Collected,Institution,Silver_Tag,Length,Width,Depth_1,Depth_2,Depth_3,Depth_4,Depth_Avg,Lip_1,Lip_2,Lip_3,Lip_4,Lip_Avg,Surface_Area,Volume,EmgVeg,PCT_EmgVeg,SAV,PCT_SAV,Hydrilla,PCT_Hydrilla,Bottom_Type,Canopy,Fish_Visible,FishSpp,Dragonfly_Exuvia,Total_Richness,Simpson_Index,Shannon_Index,Chao_Estimate,Notes,Physid_Snail,Pleurocerid_Snail,Viviparid_Snail,Planorbid_Snail,Other_Snail,Asian_Clam,Pea_Clam,Leech,Worm,Flatworm,Nematode,Bloodworm,Mosquito,Other_Dipteran,Water_Scavenger_Beetle,Predacious_Diving_Beetle,Crawling_Water_Beetle,Whirligig_Beetle,Riffle_Beetle,Other_Beetle,Water_Boatman,Backswimmer,Water_Bug,Water_Strider,Skimmer_Dragonfly,Darner_Dragonfly,Other_Dragonfly,Caddisfly,Stonefly,Damselfly,Small_Squaregill_Mayfly,Small_Minnow_Mayfly,Other_Mayfly,Water_Mite,Spiders,Aquatic_Sow_Bug,Sideswimmer,Crayfish,Tadpoles,Fish,Other_Individuals,Other_SppID,duck,Treatment
2021-07-14,Atd,60,9:53,VCURESEARCH,NA,60,53,25,24,31,34,28.5,7,14,8,3,8,2497.566,69931.85,0,0,0,0,0,0,ORGANIC,Partial,0,NA,0,6,0.57716,1.090921,NA,NA,0,0,0,0,0,0,0,0,0,0,0,20,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,1 Culex,1,duckweed
2021-08-02,MT61,60,11:09,VCURESEARCH,NA,61,21,23,15,23,17,19.5,13,8,2,5,7,1006.095,19115.81,1,20,0,0,0,0,ORGANIC,Partial,0,NA,0,4,0.577778,1.077573,NA,NA,1,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Aedes. Did not get 20,1,duckweed
2021-07-14,Bm,61,8:20,VCURESEARCH,NA,98,76,67,74,33,60,58.5,4,3,11,12,7.5,5849.646,339279.4,0,0,0,0,0,0,ORGANIC,Closed,0,NA,0,4,0.31632,0.602304,NA,Fallen tree over top,0,0,0,0,0,0,0,0,470,0,0,77,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4 Cu., 2 Cu., 5 Cu., 5 Cu., 3 Cu. 1 An., 2 Cu. 1 An., 1 Cu., 1 An. 1 Cu., 2 Cu.",1,duckweed
2021-08-02,MT,61,8:48,VCURESEARCH,NA,97,82,13,8,24,13,14.5,3.5,10,3,12,7.125,6247.057,87458.8,1,10,0,0,0,0,ORGANIC,Closed,0,NA,0,3,0.368992,0.652485,NA,NA,0,0,0,0,0,0,0,0,281,0,0,66,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zoo plankton, 20 culex",1,duckweed
2021-07-14,Bm,62,9:17,VCURESEARCH,NA,45,41,37,35,37,36,36.25,10,8,3,3,6,1449.06,52166.15,0,0,0,0,0,0,ORGANIC,Partial,0,NA,0,3,0.571429,0.9557,NA,NA,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Whole pool swarming w/ zooplankton, Benthic almost entirely leaves, ostracods, and Daphnia",1,duckweed
2021-08-02,MT,62,8:30,VCURESEARCH,NA,52,44,36,34,41,37,37,7,7.5,7,3,6.125,1796.991,66488.67,0,0,0,0,0,0,ORGANIC,Closed,0,NA,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zooplankton present,1,duckweed
2021-07-14,MT,65,10:37,VCURESEARCH,NA,307,264,21,21,21,21,21,62,18,64,12,39,63654.95,1336754,0,0,0,0,0,0,ORGANIC,Closed,0,NA,0,5,0.613629,1.11448,NA,NA,25,0,0,16,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,NA,1,control
2021-08-03,Bm,65,8:56,VCURESEARCH,NA,294,150,22,20,16,17,18.75,18,38,35,60,37.75,34636.059,623449.062,0,0,0,0,0,0,ORGANIC,Closed,0,NA,0,10,0.72071733,1.60865432,2,,81,0,0,11,0,0,0,0,10,7,0,0,0,6,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,58,0,0,", , , 2 phantoms, 4 phantoms, , , ,",1,control
2021-07-14,JTA,75,9:16,VCURESEARCH,NA,73,71,37,36,47,42,40.5,4,4,5,9,5.5,4070.719,162828.7,0,0,0,0,0,0,SAND,Open,0,NA,0,3,0.328824,0.614524,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Aedes,1,control
2021-08-03,Phoebe LaMountain,75,9:18,VCURESEARCH,NA,67,67,31,41,41,28,35.25,5,4,5,6,5,3525.65236,123397.832,0,0,0,0,0,0,ROCK,Open,0,NA,0,5,0.52400549,1.07344206,6.44444444,,18,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , , , , , , ,",1,control
2021-07-14,JTA,76,9:36,VCURESEARCH,NA,41,26,19,19,16,17,17.75,3,2,1,2,2,837.2344,14232.99,0,0,0,0,0,0,SAND,Open,0,NA,0,4,0.466812,0.800012,NA,NA,17,1,0,0,0,0,0,0,0,0,0,70,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Aedes,1,control
2021-08-03,Phoebe LaMountain,76,8:50,VCURESEARCH,NA,45,28,16,15,2,19,13,2,3,2,2,2.25,989.601686,12864.8219,0,0,0,0,0,0,MUD,Open,0,NA,0,4,0.27900277,0.57088382,4.44444444,,80,0,0,0,0,0,0,0,1,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , 1 anopheles , 1 anopheles 1 - culex,  Lots of zooplankton  , , Aedes - 1, Zooplankton present  , 1 culex",1,control
2021-07-14,CRS,89,9:05,VCURESEARCH,NA,168,154,55,43.5,42,53,48.375,4,2,4,9,4.75,20319.82,975351.4,0,0,0,0,0,0,MUD,Open,0,NA,0,3,0.185,0.394398,NA,NA,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-03,Bm,89,8:19,VCURESEARCH,NA,173,167,42,54,44,54,48.5,4,3,1,10,4.5,22690.9383,1089165.04,0,0,0,0,0,0,ROCK,Open,0,NA,0,4,0.39858907,0.79738796,4,,48,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , , , , , , ,",1,duckweed
2021-07-14,MT,121,8:40,VCURESEARCH,NA,89,75,3,55,16,55.5,32.375,15.6,16,15,4,12.65,5242.533,167761,0,0,0,0,0,0,ROCK,Open,0,NA,0,4,0.625,1.10589,NA,NA,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,control
2021-08-03,CRS,121,8:18,VCURESEARCH,NA,93,75,59,54.5,53,56,55.625,2,17,12,14,11.25,5478.15219,301298.37,0,0,0,0,0,0,MUD,Open,0,NA,0,5,0.7345679,1.44048174,3,,7,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,", , , , , , , ,",1,control
2021-07-14,MT,123,8:14,VCURESEARCH,NA,71.5,55.5,38,35,38,2,28.25,6,2,10,8,6.5,3066.98,85875.44,0,0,0,0,0,0,ROCK,Open,0,NA,0,2,0.5,0.693147,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-03,CRS,123,8:57,VCURESEARCH,NA,145,54,46.25,41,3,11,25.3125,5,1,4,8,4.5,6149.66762,153741.69,0,0,0,0,0,0,MUD,Open,0,NA,0,3,0.625,1.02818386,6.66666667,,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , , , , , , ,",1,duckweed
2021-07-13,MT,126,11:04,VCURESEARCH,NA,75,66,46,45,6.5,49,36.625,15.5,6,4,10,8.875,3887.721,139958,0,0,0,0,0,0,MUD,Open,0,NA,0,6,0.422654,0.902397,NA,NA,5,1,0,0,0,0,0,0,0,1,0,7,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,All 20 addes,1,duckweed
2021-08-03,CRS,126,9:12,VCURESEARCH,NA,81,68,50,47.5,49,47.5,48.5,9,16,8,1,8.5,4325.97308,207646.708,0,0,0,0,0,0,MUD,Open,0,NA,0,5,0.44838922,0.88639776,3,Thereâ€šÃ„Ã´s still some duckweed in this poo,28,1,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , , , , , , ,",1,duckweed
2021-07-13,MT,134,10:38,VCURESEARCH,NA,96,85,30,6.5,8.5,2,11.75,6.5,11,1,7,6.375,6408.849,70497.34,0,0,0,0,0,0,SAND,Open,0,NA,0,3,0.121302,0.270187,NA,NA,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-03,Atd,134,8:19,VCURESEARCH,NA,156,83,21.5,17,27,12,19.375,13,10,5,2,7.5,10169.3354,193217.373,0,0,0,0,0,0,MUD,Open,0,NA,0,3,0.25056689,0.47448221,6.66666667,,36,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , , , , , , ,",1,duckweed
2021-07-13,MT,135,9:55,VCURESEARCH,NA,106,61,28,22.5,5.5,24,20,9,10,3,8,7.5,5078.385,101567.7,0,0,0,0,0,0,SAND,Open,0,NA,0,1,0,0,NA,NA,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-03,Atd,135,8:32,VCURESEARCH,NA,105,59,22,29.5,31,27,27.375,2,5,10,12,7.25,4865.54162,131369.624,0,0,0,0,0,0,MUD,Open,0,NA,2,4,0.31250358,0.56516617,3.88888889,,186,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , , , , , , ,",1,duckweed
2021-07-14,JRV,146,8:51,VCURESEARCH,NA,140,88,28,21,17,6,18,10,20,20,4,13.5,9676.105,174169.9,0,0,0,0,0,0,LG_STONE,Closed,0,NA,0,9,0.638015,1.277721,NA,"Big crayfish, no physa",2,21,94,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,59,1,0,0,0,Nothing,1,duckweed
2021-08-03,Phoebe LaMountain,146,8:19,VCURESEARCH,NA,147,78,3,16,30,27,19,5,2,15,18,10,9005.37534,171102.131,0,0,0,0,0,0,ROCK,Partial,0,NA,0,3,0.33777778,0.62770526,3,,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , , , , , , ,",1,duckweed
2021-07-13,Atd,159,9:16,VCURESEARCH,NA,47,48,13,14,10,10,11.75,35,20,3,20,19.5,1771.858,19490.44,0,0,0,0,0,0,ORGANIC,Closed,0,NA,0,2,0.086777000000000000,0.184907,NA,NA,0,0,0,0,0,0,0,0,0,0,0,8,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20+ Aedes,1,duckweed
2021-07-13,Atd,180,9:32,VCURESEARCH,NA,52,47,18,22,19,20,19.75,3,4,3,2,3,1919.513,36470.75,0,0,0,0,0,0,LG_STONE,Open,0,NA,0,5,0.029977,0.095014,NA,NA,2,0,0,0,0,0,0,0,0,1,0,6,650,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20+ Aedes,1,control 
2021-08-03,Phoebe LaMountain,180,9:55,VCURESEARCH,NA,54,46,22,15,13,20,17.5,5,8,7,3,5.75,1950.92904,33165.7936,0,0,0,0,0,0,SM_STONE,Open,0,NA,0,5,0.42407955,0.83430271,1,,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,", , , , , , , , Zooplankton present",1,control
2021-07-13,MT,241,8:18,VCURESEARCH,NA,147,137,51,67,7,74,49.75,55,33,1,66,38.75,15817.13,775039.5,0,0,0,0,0,0,LG_STONE,Closed,0,NA,0,4,0.45805,0.887242,NA,NA,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-02,Phoebe LaMountain,241,9:45,VCURESEARCH,NA,145,120,6,75,55,31,41.75,66,33,2,30,32.75,13665.93,560303,0,0,0,0,0,0,SM_STONE,Open,0,NA,0,4,0.661407,1.193685,NA,NA,15,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,Duckweed
2021-07-14,CRS,281,8:42,VCURESEARCH,NA,78,55,45.25,41.5,45,46,44.4375,6,25,3,25,14.75,3369.358,148251.8,0,0,0,0,0,0,MUD,Open,0,NA,0,3,0.53125,0.900256,NA,NA,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-02,Atd,281,10:32,VCURESEARCH,NA,86,56,45,46,44,45,45,2,10,12,15,9.75,3782.478,170211.5,0,0,0,0,0,0,ROCK,Open,0,NA,0,2,0.396694,0.585953,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-07-13,CRS,288,11:22,VCURESEARCH,NA,89,64,28,29,27,25,27.25,41,42,48,20,37.75,4473.628,120788,1,40,0,0,0,0,LG_STONE,Open,0,NA,0,5,0.326475,0.725865,NA,NA,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,NA,1,control 
2021-08-02,Atd,288,9:48,VCURESEARCH,NA,104,85,32,39.5,31.5,20,30.75,24,48,50,13,33.75,6942.92,208287.6,1,40,0,0,0,0,LG_STONE,Open,0,NA,0,4,0.635108,1.183488,NA,NA,21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,"3 aedes, 1 aedes, 1 aedes, 2 aedes",1,control 
2021-07-13,CRS,291,10:53,VCURESEARCH,NA,83,71,13.75,11.5,10,10,11.3125,54,3,22,84,40.75,4628.351,50911.87,1,50,0,0,0,0,MUD,Open,0,NA,0,4,0.129273,0.318391,NA,NA,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,control 
2021-08-02,Atd,291,9:32,VCURESEARCH,NA,79,87,15,20,11,11.5,14.375,10,40,60,5,28.75,5398.042,75572.58,1,60,0,0,NA,0,MUD,Open,0,NA,0,3,0.072016,0.184083,NA,NA,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,control 
2021-07-13,CRS,310,10:22,VCURESEARCH,NA,56,39,57,57,59.5,56,57.375,26,15,23,6,17.5,1715.31,97772.65,0,0,0,0,0,0,MUD,Open,0,NA,0,3,0.566116,0.957556,NA,NA,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-08-02,Atd,310,9:12,VCURESEARCH,NA,57,40,53,49,43,56,50.25,20,17,5,10,13,1790.708,89535.39,0,0,0,0,0,0,LG_STONE,Open,0,NA,0,4,0.542222,0.999907,NA,NA,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,NA,1,duckweed
2021-08-03,Atd,323,9:18,VCURESEARCH,NA,375,120,25,22,26.5,10,20.875,3,50,4,10,16.75,35342.9174,706858.347,1,10,0,0,0,0,ROCK,Partial,0,NA,1,12,0.86882716,2.22554108,4.77777778,,6,8,1,1,0,0,0,0,6,0,2,3,3,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,", , 3 aedes, , , , , ,",1,control 
2021-07-13,Phoebe LaMountain,329,10:02,VCURESEARCH,NA,26,30,18,16,13,14,15.25,7,4,1,4,4,612.6106,9189.159,0,0,0,0,0,0,MUD,Open,0,NA,0,3,0.465285,0.687592,NA,NA,0,0,0,0,0,0,0,0,0,0,0,50,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,control 
2021-08-02,JRV,329,10:28,VCURESEARCH,NA,42,32,17,16,10,12,13.75,10,4,2,1,4.25,1055.575,13722.48,0,0,0,0,0,0,ROCK,Open,0,NA,0,5,0.530567,0.885649,NA,20/20 mosquitoes all Aedes,1,0,0,0,0,0,0,0,0,0,0,70,48,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"All 7 mosquitoAedes, All 5 Aedes, All 4 aedes, All 4 aedes, Aedes, 2 Aedes",1,control 
2021-07-14,CRS,399,9:37,VCURESEARCH,NA,38,33,12,11,16,11,12.5,5,8,3,11,6.75,984.8893,11818.67,0,0,0,0,0,0,LG_STONE,Open,0,NA,0,4,0.743802,1.373004,NA,NA,3,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,control 
2021-08-02,Bm,399,10:05,VCURESEARCH,NA,43,38,17,13,16,15,15.25,6,5,2,1,3.5,1283.341,19250.11,0,0,1,10,1,10,SAND,Open,0,NA,0,5,0.705707,1.337694,NA,NA,18,0,0,0,0,0,0,0,10,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 Ae.,1,control 
2021-07-14,Atd,467,10:44,VCURESEARCH,NA,152,40,4,4.5,11,8,6.875,2,5,7,1,3.75,4775.221,28651.33,0,0,0,0,0,0,MUD,Closed,0,NA,0,4,0.653061,1.138642,NA,NA,43,0,0,0,0,0,0,0,55,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 culex, 3 culex 2 anoph, 2 anoph 2 culex, 3 aedes 2 anoph, 1 anoph, 2 anoph, 1 culex, 1 anoph 5 culex",1,control 
2021-08-02,MT,467,10:23,VCURESEARCH,NA,150,71,4,11,4.5,1.5,5.25,2,7,9,2,5,8364.49,41822.45,0,0,0,0,0,0,SAND,Closed,0,NA,0,6,0.445925,0.825633,NA,NA,14,0,0,0,0,0,0,0,469,0,0,145,30,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 aedes 7 culex,1,control 
2021-07-14,Atd,468,10:13,VCURESEARCH,NA,42,36,12,11,11,11,11.25,5,23,5,3,9,1187.522,13062.74,0,0,0,0,0,0,MUD,Closed,0,NA,0,10,0.556581,1.289895,NA,NA,126,0,0,0,0,0,0,0,2,0,0,14,24,0,2,5,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,"1 Culex, 1 anopheles, 1 culex, 4 aedes 1 anoph, 1 culex, 2 culex 1 anoph, 5 aedes, 1 aedes 1 anoph 1 culex",1,duckweed
2021-08-02,MT,468,9:56,VCURESEARCH,NA,60.5,45,11,10,3,11,8.75,2,19,13,2,9,2120.575,16964.6,1,10,0,0,0,0,ORGANIC,Closed,0,NA,0,3,0.522373,0.804666,NA,NA,13,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,duckweed
2021-07-14,Phoebe LaMountain,472,10:41,VCURESEARCH,NA,44,18,18,15,14,13,15,4,3,2,1.5,2.625,622.0353,9330.53,0,0,0,0,0,0,MUD,Closed,0,NA,0,5,0.594694,1.076865,NA,NA,37,0,0,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,NA,1,control 
